Name,"Total CPU [unit, %]","Self CPU [unit, %]"
|| - stbi__idct_simd,38 (0.44%),34 (0.39%)
|| - stbi__jpeg_decode_block,37 (0.43%),25 (0.29%)
|| - stbi__stdio_read,31 (0.36%),0 (0.00%)
|| - boost::uuids::operator==,27 (0.31%),27 (0.31%)
"|| - utils::MakeIteratorRight<components::ComponentUUIDvClass const ,std::_List_const_iterator<std::_List_val<std::_List_simple_types<std::pair<boost::uuids::uuid const ,components::Collider> > > > >",27 (0.31%),0 (0.00%)
|| - components::SpriteArray::operator[],26 (0.30%),12 (0.14%)
|| - components::ComponentArray<components::Collider>::CEnd,26 (0.30%),0 (0.00%)
|| - components::SpriteArray::End,26 (0.30%),0 (0.00%)
|| - gameplay::playerCenter,26 (0.30%),0 (0.00%)
"|| - glm::operator*<float,0>",25 (0.29%),25 (0.29%)
|| - ImGui::NewFrame,25 (0.29%),3 (0.03%)
"|| - utils::MakeIterator<components::ComponentUUIDvClass,std::_Vector_iterator<std::_Vector_val<std::_Simple_types<components::Sprite> > > >",25 (0.29%),1 (0.01%)
|| - components::SpriteArray::exists,21 (0.24%),8 (0.09%)
|| - `anonymous namespace'::`dynamic initializer for 'audioSystem'',20 (0.23%),0 (0.00%)
|| - stbi__zhuffman_decode_slowpath,19 (0.22%),19 (0.22%)
|| - ParticleShaderClass::SetShaderParameters,19 (0.22%),2 (0.02%)
"|| - utils::IteratorDerivedRight<components::ComponentUUIDvClass const ,std::_List_const_iterator<std::_List_val<std::_List_simple_types<std::pair<boost::uuids::uuid const ,components::Collider> > > > >::Copy",18 (0.21%),1 (0.01%)
|| - output::SoundManager::VolumeSet,18 (0.21%),0 (0.00%)
|| - components::numbers::setValue,16 (0.19%),3 (0.03%)
"|| - utils::IteratorDerived<components::ComponentUUIDvClass const ,std::_Vector_iterator<std::_Vector_val<std::_Simple_types<components::Sprite> > > >::`scalar deleting destructor'",15 (0.17%),2 (0.02%)
|| - ImGui::Begin,15 (0.17%),1 (0.01%)
|| - stbi__getn,15 (0.17%),0 (0.00%)
|| - stbi__grow_buffer_unsafe,14 (0.16%),6 (0.07%)
|| - ImGui_ImplDX11_RenderDrawData,14 (0.16%),0 (0.00%)
|| - output::SoundManager::SetSFXVol,14 (0.16%),0 (0.00%)
|| - stbi__YCbCr_to_RGB_simd,13 (0.15%),10 (0.12%)
|| - windows::WndProc,13 (0.15%),0 (0.00%)
|| - components::PlayerAnimation::update,12 (0.14%),2 (0.02%)
|| - gameplay::SceneManagerSplash4SceneUpdate,12 (0.14%),0 (0.00%)
|| - systems::PlayerAnimationUpdate,12 (0.14%),0 (0.00%)
"|| - std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >::operator()",10 (0.12%),10 (0.12%)
"|| - utils::IteratorDerived<components::ComponentUUIDvClass,std::_Vector_iterator<std::_Vector_val<std::_Simple_types<components::Sprite> > > >::`scalar deleting destructor'",10 (0.12%),3 (0.03%)
|| - graphics::fontmanager::LoadAllNumbers,10 (0.12%),0 (0.00%)
|| - graphics::fontrender::LoadFontTexture,10 (0.12%),0 (0.00%)
"|| - std::_Tree<std::_Tmap_traits<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,FMOD::Channel *,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::allocator<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,FMOD::Channel *> >,0> >::_Find_lower_bound<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >",9 (0.10%),4 (0.05%)
|| - `anonymous namespace'::LoadSingleNum,9 (0.10%),0 (0.00%)
|| - components::CrownShadowUpdate,9 (0.10%),0 (0.00%)
|| - ImGui::RenderWindowDecorations,9 (0.10%),0 (0.00%)
|| - components::Sprite::Sprite,8 (0.09%),0 (0.00%)
|| - components::CrownShadow::crownUpdate,7 (0.08%),2 (0.02%)
|| - ParticleSystem::GetEmitter,7 (0.08%),1 (0.01%)
"|| - std::_Tree<std::_Tmap_traits<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,Particles *,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::allocator<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,Particles *> >,0> >::_Find_lower_bound<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >",6 (0.07%),2 (0.02%)
"|| - std::basic_string<char,std::char_traits<char>,std::allocator<char> >::basic_string<char,std::char_traits<char>,std::allocator<char> >",6 (0.07%),1 (0.01%)
|| - components::ComponentArray<components::Animation>::End,6 (0.07%),0 (0.00%)
|| - ImGui_ImplDX11_CreateDeviceObjects,6 (0.07%),0 (0.00%)
"|| - std::_Med3_unchecked<components::Sprite *,<lambda_db1c0f85cecb67259c314088c0ea9577> >",6 (0.07%),0 (0.00%)
|| - systems::DrawParticles,6 (0.07%),0 (0.00%)
"|| - utils::MakeIteratorRight<components::ComponentUUIDvClass,std::_List_iterator<std::_List_val<std::_List_simple_types<std::pair<boost::uuids::uuid const ,components::Animation> > > > >",6 (0.07%),0 (0.00%)
|| - __security_check_cookie,5 (0.06%),5 (0.06%)
|| - ImGui::NavUpdate,5 (0.06%),3 (0.03%)
|| - utils::Iterator<components::ComponentUUIDvClass>::operator!=,5 (0.06%),3 (0.03%)
|| - ImGui::RenderWindowTitleBarContents,5 (0.06%),2 (0.02%)
|| - std::allocator<char>::allocate,5 (0.06%),2 (0.02%)
"|| - std::map<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,FMOD::Channel *,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::allocator<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,FMOD::Channel *> > >::operator[]",5 (0.06%),1 (0.01%)
|| - gameplay::SceneManagerMainMenuSceneUpdate,5 (0.06%),0 (0.00%)
|| - output::SoundManager::SetBGMVol,5 (0.06%),0 (0.00%)
|| - output::SoundManager::Update,5 (0.06%),0 (0.00%)
|| - stbi__free_jpeg_components,5 (0.06%),0 (0.00%)
|| - stbi__start_callbacks,5 (0.06%),0 (0.00%)
|| - systems::SSMLoad,5 (0.06%),0 (0.00%)
|| - components::Sprite::~Sprite,4 (0.05%),2 (0.02%)
|| - stbi__compute_huffman_codes,4 (0.05%),1 (0.01%)
"|| - utils::MakeIteratorRight<components::ComponentUUIDvClass,std::_List_iterator<std::_List_val<std::_List_simple_types<std::pair<boost::uuids::uuid const ,components::Collider> > > > >",4 (0.05%),1 (0.01%)
|| - gameplay::SceneManagerHelpSceneUpdate,4 (0.05%),0 (0.00%)
|| - ImDrawList::AddRectFilled,4 (0.05%),0 (0.00%)
|| - ImGui_ImplDX11_SetupRenderState,4 (0.05%),0 (0.00%)
"|| - std::vector<std::pair<components::ComponentIDvClass *,bool>,std::allocator<std::pair<components::ComponentIDvClass *,bool> > >::_Emplace_reallocate<std::pair<components::ComponentIDvClass *,bool> >",4 (0.05%),0 (0.00%)
|| - ImDrawList::AddConvexPolyFilled,3 (0.03%),3 (0.03%)
|| - ImDrawList::PathArcToFast,3 (0.03%),3 (0.03%)
|| - stbi__zbuild_huffman,3 (0.03%),3 (0.03%)
|| - gameplay::repositionZplayers,3 (0.03%),2 (0.02%)
|| - components::Transform::getMatrix,3 (0.03%),1 (0.01%)
|| - ImDrawList::PathRect,3 (0.03%),1 (0.01%)
|| - ImGui::RenderTextClippedEx,3 (0.03%),1 (0.01%)
"|| - std::vector<void *,std::allocator<void *> >::_Emplace_reallocate<void *>",3 (0.03%),1 (0.01%)
|| - components::ComponentArray<components::Collider>::End,3 (0.03%),0 (0.00%)
|| - Deserialize,3 (0.03%),0 (0.00%)
|| - ImDrawList::AddRect,3 (0.03%),0 (0.00%)
|| - ImGui::RenderWindowOuterBorders,3 (0.03%),0 (0.00%)
|| - stbi__get16be,3 (0.03%),0 (0.00%)
|| - stbtt_MakeGlyphBitmapSubpixel,3 (0.03%),0 (0.00%)
"|| - std::map<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,Particles *,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::allocator<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,Particles *> > >::operator[]",3 (0.03%),0 (0.00%)
"|| - utils::MakeIteratorRight<components::ComponentUUIDvClass,std::_List_iterator<std::_List_val<std::_List_simple_types<std::pair<boost::uuids::uuid const ,components::PlayerInput> > > > >",3 (0.03%),0 (0.00%)
"|| - glm::rotate<float,0>",2 (0.02%),2 (0.02%)
"|| - glm::scale<float,0>",2 (0.02%),2 (0.02%)
|| - graphics::CameraClass::GetViewMatrix,2 (0.02%),2 (0.02%)
|| - ImFont::RenderText,2 (0.02%),2 (0.02%)
|| - Particles::EmitParticles,2 (0.02%),2 (0.02%)
"|| - std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",2 (0.02%),2 (0.02%)
|| - systems::AnimationUpdate,2 (0.02%),2 (0.02%)
|| - utils::Iterator<components::ComponentUUIDvClass>::operator++,2 (0.02%),2 (0.02%)
"|| - utils::IteratorDerived<components::ComponentUUIDvClass const ,std::_Vector_iterator<std::_Vector_val<std::_Simple_types<components::Sprite> > > >::operator++",2 (0.02%),2 (0.02%)
"|| - utils::IteratorDerived<components::ComponentUUIDvClass,std::_Vector_iterator<std::_Vector_val<std::_Simple_types<components::Sprite> > > >::operator==",2 (0.02%),2 (0.02%)
|| - components::CrownShadow::shadowUpdate,2 (0.02%),1 (0.01%)
|| - components::Sprite::setSpriteSource,2 (0.02%),1 (0.01%)
|| - stbtt__rasterize_sorted_edges,2 (0.02%),1 (0.01%)
"|| - std::_Func_impl_no_alloc<<lambda_24edd6ec4678b500f47bb22ad2781c86>,void>::_Do_call",2 (0.02%),1 (0.01%)
|| - _vfprintf_l,2 (0.02%),0 (0.00%)
|| - `systems::SystemsTable::getTable'::`2'::`dynamic atexit destructor for 'ptr'',2 (0.02%),0 (0.00%)
|| - components::ComponentArray<components::PlayerInput>::End,2 (0.02%),0 (0.00%)
|| - components::Sprite::operator=,2 (0.02%),0 (0.00%)
|| - gameplay::SceneManagerGameSceneInit,2 (0.02%),0 (0.00%)
|| - graphics::Mesh::InitializeBuffers,2 (0.02%),0 (0.00%)
|| - ImGui_ImplDX11_CreateFontsTexture,2 (0.02%),0 (0.00%)
|| - printf,2 (0.02%),0 (0.00%)
|| - stbtt__rasterize,2 (0.02%),0 (0.00%)
|| - std::allocator<graphics::Texture *>::allocate,2 (0.02%),0 (0.00%)
|| - systems::CollisionMessageCheck,2 (0.02%),0 (0.00%)
|| - systems::Deserialization::Meshes,2 (0.02%),0 (0.00%)
|| - systems::MeshManager::LoadMesh,2 (0.02%),0 (0.00%)
|| - __SEH_prolog4,1 (0.01%),1 (0.01%)
|| - _alldvrm,1 (0.01%),1 (0.01%)
|| - _malloc,1 (0.01%),1 (0.01%)
|| - `eh vector constructor iterator',1 (0.01%),1 (0.01%)
|| - `eh vector destructor iterator',1 (0.01%),1 (0.01%)
|| - CalcWindowContentSize,1 (0.01%),1 (0.01%)
|| - components::ComponentArray<components::ParticleContainer>::Begin,1 (0.01%),1 (0.01%)
|| - components::ComponentArray<components::PlayerInput>::CBegin,1 (0.01%),1 (0.01%)
|| - ImDrawList::AddPolyline,1 (0.01%),1 (0.01%)
|| - ImDrawList::PushClipRectFullScreen,1 (0.01%),1 (0.01%)
|| - ImGui::GetColorU32,1 (0.01%),1 (0.01%)
|| - ImGui::GetNavInputAmount,1 (0.01%),1 (0.01%)
|| - ImGui::GetTopMostPopupModal,1 (0.01%),1 (0.01%)
|| - output::SoundManager::CheckMessages,1 (0.01%),1 (0.01%)
|| - Particles::ParticleParameter,1 (0.01%),1 (0.01%)
|| - stbi__get_marker,1 (0.01%),1 (0.01%)
|| - stbtt__fill_active_edges_new,1 (0.01%),1 (0.01%)
|| - stbtt__tesselate_curve,1 (0.01%),1 (0.01%)
"|| - std::_Tree_val<std::_Tree_simple_types<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,Particles *> > >::_Insert_node",1 (0.01%),1 (0.01%)
"|| - std::map<int,graphics::SpriteSource *,std::less<int>,std::allocator<std::pair<int const ,graphics::SpriteSource *> > >::operator[]",1 (0.01%),1 (0.01%)
|| - systems::SysTableObject::setfunction,1 (0.01%),1 (0.01%)
|| - systems::SystemsTable::addSystem,1 (0.01%),1 (0.01%)
|| - utils::Iterator<components::ComponentUUIDvClass>::Copy,1 (0.01%),1 (0.01%)
|| - utils::Iterator<components::ComponentUUIDvClass>::operator->,1 (0.01%),1 (0.01%)
|| - utils::NewMessage<utils::CollisionMessage>,1 (0.01%),1 (0.01%)
|| - atan2f,1 (0.01%),0 (0.00%)
|| - components::ComponentArray<components::Arrow>::End,1 (0.01%),0 (0.00%)
|| - components::ComponentArray<components::Collider>::CBegin,1 (0.01%),0 (0.00%)
|| - components::ComponentArray<components::ParticleContainer>::End,1 (0.01%),0 (0.00%)
|| - components::ComponentArray<components::PlayerAnimation>::End,1 (0.01%),0 (0.00%)
|| - components::ComponentArray<components::PlayerInput>::Begin,1 (0.01%),0 (0.00%)
|| - gameplay::ParticlesInit,1 (0.01%),0 (0.00%)
|| - gameplay::SceneManagerHelpSceneInit,1 (0.01%),0 (0.00%)
|| - gameplay::SceneManagerMainMenuSceneInit,1 (0.01%),0 (0.00%)
|| - ImeSetInputScreenPosFn_DefaultImpl,1 (0.01%),0 (0.00%)
|| - ImFontAtlasBuildWithStbTruetype,1 (0.01%),0 (0.00%)
|| - ImGui::EndFrame,1 (0.01%),0 (0.00%)
|| - ImGui_ImplWin32_UpdateMouseCursor,1 (0.01%),0 (0.00%)
|| - input::Controller::ControllerGetJoystickY,1 (0.01%),0 (0.00%)
|| - MallocWrapper,1 (0.01%),0 (0.00%)
"|| - rapidjson::GenericDocument<rapidjson::UTF8<char>,rapidjson::MemoryPoolAllocator<rapidjson::CrtAllocator>,rapidjson::CrtAllocator>::String",1 (0.01%),0 (0.00%)
"|| - rapidjson::GenericReader<rapidjson::UTF8<char>,rapidjson::UTF8<char>,rapidjson::CrtAllocator>::ParseArray<0,rapidjson::FileReadStream,rapidjson::GenericDocument<rapidjson::UTF8<char>,rapidjson::MemoryPoolAllocator<rapidjson::CrtAllocator>,rapidjson::CrtAllocator> >",1 (0.01%),0 (0.00%)
"|| - rapidjson::GenericReader<rapidjson::UTF8<char>,rapidjson::UTF8<char>,rapidjson::CrtAllocator>::ParseObject<0,rapidjson::FileReadStream,rapidjson::GenericDocument<rapidjson::UTF8<char>,rapidjson::MemoryPoolAllocator<rapidjson::CrtAllocator>,rapidjson::CrtAllocator> >",1 (0.01%),0 (0.00%)
"|| - rapidjson::GenericReader<rapidjson::UTF8<char>,rapidjson::UTF8<char>,rapidjson::CrtAllocator>::ParseString<0,rapidjson::FileReadStream,rapidjson::GenericDocument<rapidjson::UTF8<char>,rapidjson::MemoryPoolAllocator<rapidjson::CrtAllocator>,rapidjson::CrtAllocator> >",1 (0.01%),0 (0.00%)
"|| - rapidjson::GenericReader<rapidjson::UTF8<char>,rapidjson::UTF8<char>,rapidjson::CrtAllocator>::ParseValue<0,rapidjson::FileReadStream,rapidjson::GenericDocument<rapidjson::UTF8<char>,rapidjson::MemoryPoolAllocator<rapidjson::CrtAllocator>,rapidjson::CrtAllocator> >",1 (0.01%),0 (0.00%)
|| - rapidjson::MemoryPoolAllocator<rapidjson::CrtAllocator>::Malloc,1 (0.01%),0 (0.00%)
|| - stbtt_FlattenCurves,1 (0.01%),0 (0.00%)
|| - stbtt_FlattenCurves,1 (0.01%),0 (0.00%)
|| - stbtt_MakeGlyphBitmapSubpixel,1 (0.01%),0 (0.00%)
|| - stbtt_PackFontRangesRenderIntoRects,1 (0.01%),0 (0.00%)
|| - std::allocator<systems::FunctionParam>::allocate,1 (0.01%),0 (0.00%)
"|| - std::map<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,graphics::SpriteSource *,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::allocator<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,graphics::SpriteSource *> > >::operator[]",1 (0.01%),0 (0.00%)
"|| - std::vector<systems::FunctionParam,std::allocator<systems::FunctionParam> >::_Emplace_reallocate<systems::FunctionParam const &>",1 (0.01%),0 (0.00%)
|| - systems::PlayerAnimationCheckMessage,1 (0.01%),0 (0.00%)
|| - systems::SSMUnload,1 (0.01%),0 (0.00%)
"|| - utils::MakeIteratorRight<components::ComponentUUIDvClass,std::_List_iterator<std::_List_val<std::_List_simple_types<std::pair<boost::uuids::uuid const ,components::Arrow> > > > >",1 (0.01%),0 (0.00%)
"|| - utils::MakeIteratorRight<components::ComponentUUIDvClass,std::_List_iterator<std::_List_val<std::_List_simple_types<std::pair<boost::uuids::uuid const ,components::ParticleContainer> > > > >",1 (0.01%),0 (0.00%)
"|| - utils::MakeIteratorRight<components::ComponentUUIDvClass,std::_List_iterator<std::_List_val<std::_List_simple_types<std::pair<boost::uuids::uuid const ,components::PlayerAnimation> > > > >",1 (0.01%),0 (0.00%)
